,Fiscal.Year,naics,totalconaccpt,totalconden,totalcontinue,caccptperc,,cdenperc,
275,2019,99,1636,130,1766,92.6387316,92.6387316,7.361268403,7.361268403
226,2018,11,82,28,110,74.54545455,20.43887147,25.45454545,20.43887147
225,2017,99,477,54,531,89.83050847,15.28505393,10.16949153,15.28505393
266,2019,54,106044,21184,127228,83.34957714,13.79087703,16.65042286,13.79087703
241,2018,54,145782,28788,174570,83.50919402,13.4086142,16.49080598,13.4086142
174,2015,92,301,5,306,98.36601307,10.82502947,1.633986928,10.82502947
265,2019,53,562,35,597,94.13735343,10.7877763,5.862646566,10.7877763
26,2010,11,130,17,147,88.43537415,10.10477184,11.56462585,10.10477184
249,2018,92,353,17,370,95.40540541,9.779439408,4.594594595,9.779439408
240,2018,53,710,55,765,92.81045752,9.301263497,7.189542484,9.301263497
267,2019,55,1155,34,1189,97.14045416,8.984532124,2.859545837,8.984532124
149,2014,92,315,9,324,97.22222222,8.072131806,2.777777778,8.072131806
268,2019,56,1764,237,2001,88.15592204,7.972913564,11.84407796,7.972913564
242,2018,55,2264,72,2336,96.91780822,7.826177914,3.082191781,7.826177914
16,2009,54,61485,5896,67381,91.24975883,7.704944999,8.750241166,7.704944999
247,2018,72,483,69,552,87.5,7.636778116,12.5,7.636778116
243,2018,56,2246,275,2521,89.09163031,6.991626128,10.90836969,6.991626128
12,2009,49,50,5,55,90.90909091,6.865189666,9.090909091,6.865189666
50,2010,99,1636,166,1802,90.78801332,6.859045505,9.211986681,6.859045505
147,2014,72,649,72,721,90.01386963,6.295654184,9.986130374,6.295654184
49,2010,92,320,10,330,96.96969697,6.181683651,3.03030303,6.181683651
39,2010,52,7899,113,8012,98.58961558,5.942556753,1.410384423,5.942556753
192,2016,55,1586,18,1604,98.87780549,5.788374592,1.122194514,5.788374592
150,2014,99,1479,180,1659,89.15009042,5.740420533,10.84990958,5.740420533
216,2017,54,186431,12897,199328,93.52975999,5.630407973,6.470240006,5.630407973
224,2017,92,292,14,306,95.4248366,5.594328127,4.575163399,5.594328127
200,2016,99,595,55,650,91.53846154,5.58384062,8.461538462,5.58384062
237,2018,49,190,19,209,90.90909091,5.457700195,9.090909091,5.457700195
217,2017,55,1653,14,1667,99.16016797,5.427322587,0.839832034,5.427322587
17,2009,55,568,6,574,98.95470383,5.368316398,1.045296167,5.368316398
270,2019,62,6717,256,6973,96.3286964,5.364840979,3.6713036,5.364840979
121,2013,71,362,9,371,97.57412399,5.337281884,2.425876011,5.337281884
126,2014,11,213,16,229,93.01310044,5.314658761,6.986899563,5.314658761
87,2012,49,40,3,43,93.02325581,5.161182226,6.976744186,5.161182226
117,2013,55,1062,12,1074,98.88268156,5.140350276,1.117318436,5.140350276
11,2009,48,824,34,858,96.03729604,5.128205128,3.962703963,5.128205128
24,2009,92,412,8,420,98.0952381,5.127374201,1.904761905,5.127374201
175,2015,99,534,76,610,87.54098361,5.106075217,12.45901639,5.106075217
142,2014,55,1315,9,1324,99.32024169,5.048293084,0.679758308,5.048293084
14,2009,52,8815,152,8967,98.30489573,5.046468762,1.695104271,5.046468762
245,2018,62,7621,319,7940,95.98236776,5.040338773,4.017632242,5.040338773
228,2018,22,532,14,546,97.43589744,4.824432468,2.564102564,4.824432468
124,2013,92,365,13,378,96.56084656,4.822252233,3.439153439,4.822252233
100,2012,99,2128,170,2298,92.60226284,4.719165734,7.397737163,4.719165734
262,2019,49,155,14,169,91.71597633,4.570438436,8.284023669,4.570438436
74,2011,92,422,6,428,98.59813084,4.536731747,1.401869159,4.536731747
25,2009,99,2459,186,2645,92.96786389,4.532489744,7.032136106,4.532489744
72,2011,72,785,64,849,92.46171967,4.459297733,7.53828033,4.459297733
167,2015,55,1158,13,1171,98.88983775,4.277043133,1.110162254,4.277043133
164,2015,52,11760,127,11887,98.93160596,4.243384247,1.068394044,4.243384247
86,2012,48,655,19,674,97.1810089,4.157753088,2.818991098,4.157753088
42,2010,55,611,13,624,97.91666667,4.155027933,2.083333333,4.155027933
191,2016,54,164355,9099,173454,94.75422879,4.123576699,5.245771213,4.123576699
195,2016,62,8435,283,8718,96.75384262,4.115805815,3.246157376,4.115805815
202,2017,21,677,38,715,94.68531469,4.071346061,5.314685315,4.071346061
41,2010,54,52685,3421,56106,93.90261291,4.014053755,6.097387089,4.014053755
146,2014,71,374,24,398,93.96984925,3.955979621,6.030150754,3.955979621
118,2013,56,1528,102,1630,93.74233129,3.944734627,6.257668712,3.944734627
236,2018,48,1029,56,1085,94.83870968,3.929618768,5.161290323,3.929618768
143,2014,56,1761,107,1868,94.27194861,3.921883991,5.728051392,3.921883991
36,2010,48,592,24,616,96.1038961,3.896103896,3.896103896,3.896103896
23,2009,81,587,36,623,94.22150883,3.873729267,5.778491172,3.873729267
252,2019,21,332,33,365,90.95890411,3.872556565,9.04109589,3.872556565
112,2013,49,36,2,38,94.73684211,3.870196018,5.263157895,3.870196018
99,2012,92,272,10,282,96.45390071,3.851637872,3.546099291,3.851637872
18,2009,56,1430,98,1528,93.58638743,3.830649856,6.413612565,3.830649856
261,2019,48,684,32,716,95.53072626,3.814749926,4.469273743,3.814749926
97,2012,72,593,45,638,92.94670846,3.801259016,7.053291536,3.801259016
61,2011,48,791,31,822,96.22871046,3.771289538,3.771289538,3.771289538
137,2014,49,55,3,58,94.82758621,3.652189379,5.172413793,3.652189379
67,2011,55,783,12,795,98.49056604,3.602785489,1.509433962,3.602785489
189,2016,52,14394,296,14690,97.98502383,3.597268724,2.014976174,3.597268724
47,2010,72,629,60,689,91.29172714,3.584597948,8.708272859,3.584597948
199,2016,92,351,18,369,95.12195122,3.583489681,4.87804878,3.583489681
214,2017,52,13992,258,14250,98.18947368,3.580778032,1.810526316,3.580778032
139,2014,52,12113,181,12294,98.52773711,3.545038146,1.472262892,3.545038146
272,2019,72,388,50,438,88.58447489,3.543184689,11.41552511,3.543184689
193,2016,56,1832,136,1968,93.08943089,3.444554601,6.910569106,3.444554601
246,2018,71,251,25,276,90.94202899,3.442028986,9.057971014,3.442028986
96,2012,71,292,11,303,96.36963696,3.4229285,3.630363036,3.4229285
211,2017,48,743,26,769,96.6189857,3.381014304,3.381014304,3.381014304
92,2012,55,778,8,786,98.9821883,3.32664136,1.017811705,3.32664136
68,2011,56,1522,82,1604,94.88778055,3.31674298,5.112219451,3.31674298
222,2017,72,535,41,576,92.88194444,3.296399505,7.118055556,3.296399505
218,2017,56,2049,137,2186,93.73284538,3.28054288,6.26715462,3.28054288
89,2012,52,8036,109,8145,98.66175568,3.265336241,1.338244322,3.265336241
71,2011,71,403,18,421,95.72446556,3.262745888,4.275534442,3.262745888
43,2010,56,1007,67,1074,93.76163873,3.242217689,6.238361266,3.242217689
111,2013,48,817,17,834,97.9616307,3.22478859,2.038369305,3.22478859
173,2015,81,571,29,600,95.16666667,3.199346405,4.833333333,3.199346405
168,2015,56,1405,80,1485,94.61279461,3.185981292,5.387205387,3.185981292
239,2018,52,19096,815,19911,95.90678519,3.096327678,4.093214806,3.096327678
234,2018,44,2098,139,2237,93.78632097,3.054791717,6.213679034,3.054791717
232,2018,33,21023,602,21625,97.21618497,3.028459339,2.783815029,3.028459339
250,2018,99,554,93,647,85.625966,3.010397639,14.374034,3.010397639
145,2014,62,9137,287,9424,96.95458404,2.984734795,3.045415959,2.984734795
122,2013,72,701,59,760,92.23684211,2.968637347,7.763157895,2.968637347
197,2016,72,572,48,620,92.25806452,2.953973788,7.741935484,2.953973788
151,2015,11,130,7,137,94.89051095,2.912957259,5.109489051,2.912957259
1,2009,11,187,10,197,94.92385787,2.850622844,5.076142132,2.850622844
34,2010,44,1633,86,1719,94.99709133,2.828995624,5.002908668,2.828995624
75,2011,99,1869,118,1987,94.06139909,2.813600906,5.938600906,2.813600906
172,2015,72,460,38,498,92.36947791,2.797188755,7.630522088,2.797188755
32,2010,33,10068,153,10221,98.50308189,2.788796176,1.49691811,2.788796176
203,2017,22,556,7,563,98.75666075,2.773877389,1.243339254,2.773877389
141,2014,54,117227,4187,121414,96.55146853,2.768773163,3.448531471,2.768773163
179,2016,23,778,48,826,94.18886199,2.602581865,5.811138015,2.602581865
109,2013,44,1945,76,2021,96.2394854,2.591177221,3.760514597,2.591177221
134,2014,44,2055,83,2138,96.11786717,2.567253942,3.882132834,2.567253942
60,2011,45,1637,20,1657,98.7929994,2.564288934,1.207000604,2.564288934
91,2012,54,68018,2508,70526,96.44386467,2.538323621,3.556135326,2.538323621
170,2015,62,6393,188,6581,97.14329129,2.481369585,2.856708707,2.481369585
227,2018,21,606,32,638,94.98432602,2.451571417,5.015673981,2.451571417
201,2017,11,135,4,139,97.12230216,2.436987473,2.877697842,2.436987473
166,2015,54,108006,3948,111954,96.47355164,2.416286108,3.526448363,2.416286108
259,2019,44,1370,91,1461,93.77138946,2.405847726,6.228610541,2.405847726
271,2019,71,151,15,166,90.96385542,2.379380536,9.036144578,2.379380536
28,2010,22,419,9,428,97.89719626,2.378988979,2.102803738,2.378988979
46,2010,71,280,19,299,93.64548495,2.353757809,6.35451505,2.353757809
157,2015,33,14533,213,14746,98.55554049,2.336808665,1.444459514,2.336808665
251,2019,11,78,10,88,88.63636364,2.322540473,11.36363636,2.322540473
153,2015,22,446,10,456,97.80701754,2.298035508,2.192982456,2.298035508
171,2015,71,266,15,281,94.66192171,2.292443797,5.338078292,2.292443797
220,2017,62,9273,346,9619,96.40295249,2.26232749,3.59704751,2.26232749
212,2017,49,173,0,173,100,2.256206282,0,2.256206282
209,2017,44,1793,65,1858,96.50161464,2.248385361,3.498385361,2.248385361
3,2009,22,494,8,502,98.4063745,2.192949373,1.593625498,2.192949373
114,2013,52,9635,116,9751,98.81037842,2.170062217,1.189621577,2.170062217
210,2017,45,5056,64,5120,98.75,2.131014304,1.25,2.131014304
256,2019,32,2261,128,2389,94.64210967,2.130875787,5.357890331,2.130875787
45,2010,62,6950,308,7258,95.75640672,2.110921774,4.243593276,2.110921774
257,2019,33,15504,517,16021,96.77298546,2.097158922,3.227014543,2.097158922
48,2010,81,537,29,566,94.87632509,2.093371881,5.123674912,2.093371881
184,2016,44,1938,78,2016,96.13095238,2.079013754,3.869047619,2.079013754
37,2010,49,35,0,35,100,2.075176194,0,2.075176194
136,2014,48,811,26,837,96.89366786,2.066081655,3.106332139,2.066081655
15,2009,53,498,36,534,93.25842697,2.008668132,6.741573034,2.008668132
235,2018,45,6162,201,6363,96.84111268,2.002403005,3.158887317,2.002403005
64,2011,52,9922,144,10066,98.56944168,1.99686104,1.430558315,1.99686104
66,2011,54,75577,2742,78319,96.49893385,1.99163219,3.501066153,1.99163219
159,2015,44,1577,54,1631,96.68914776,1.95184884,3.310852238,1.95184884
93,2012,56,1233,56,1289,95.65554694,1.938425151,4.344453064,1.938425151
207,2017,33,17849,355,18204,98.04987915,1.937106828,1.950120853,1.937106828
116,2013,54,85654,2694,88348,96.95069498,1.931986585,3.049305021,1.931986585
160,2015,45,2613,36,2649,98.6409966,1.930470287,1.359003398,1.930470287
178,2016,22,544,22,566,96.1130742,1.924212219,3.886925795,1.924212219
53,2011,22,689,5,694,99.2795389,1.916901542,0.720461095,1.916901542
186,2016,48,753,28,781,96.41485275,1.904474978,3.585147247,1.904474978
176,2016,11,126,10,136,92.64705882,1.840120664,7.352941176,1.840120664
264,2019,52,13291,561,13852,95.95004332,1.812689881,4.049956685,1.812689881
9,2009,44,1879,81,1960,95.86734694,1.812467446,4.132653061,1.812467446
84,2012,44,1581,50,1631,96.93439608,1.807742289,3.065603924,1.807742289
185,2016,45,4060,74,4134,98.20996613,1.795113382,1.790033866,1.795113382
135,2014,45,2852,38,2890,98.68512111,1.791453246,1.314878893,1.791453246
165,2015,53,410,23,433,94.68822171,1.785329928,5.311778291,1.785329928
231,2018,32,3167,150,3317,95.47784142,1.738343548,4.522158577,1.738343548
35,2010,45,900,20,920,97.82608696,1.722190853,2.173913043,1.722190853
73,2011,81,724,23,747,96.9210174,1.677113438,3.078982597,1.677113438
62,2011,49,47,0,47,100,1.660561661,0,1.660561661
10,2009,45,842,20,862,97.67981439,1.642518348,2.320185615,1.642518348
19,2009,61,17085,453,17538,97.41703729,1.641683147,2.58296271,1.641683147
30,2010,31,844,29,873,96.67812142,1.626963325,3.32187858,1.626963325
177,2016,21,737,43,780,94.48717949,1.625894718,5.512820513,1.625894718
59,2011,44,2171,63,2234,97.17994628,1.613053112,2.820053715,1.613053112
182,2016,33,18277,419,18696,97.7588789,1.585409517,2.241121095,1.585409517
140,2014,53,549,29,578,94.98269896,1.568769567,5.017301038,1.568769567
85,2012,45,1413,18,1431,98.74213836,1.561129463,1.257861635,1.561129463
229,2018,23,727,58,785,92.61146497,1.553851077,7.388535032,1.553851077
7,2009,33,11410,247,11657,97.88110148,1.540844313,2.118898516,1.540844313
21,2009,71,488,24,512,95.3125,1.525517751,4.6875,1.525517751
273,2019,81,433,37,470,92.12765957,1.489361702,7.872340426,1.489361702
155,2015,31,842,30,872,96.55963303,1.484695525,3.440366972,1.484695525
123,2013,81,695,35,730,95.20547945,1.355367109,4.794520548,1.355367109
79,2012,23,438,9,447,97.98657718,1.339178337,2.013422819,1.339178337
132,2014,33,17714,252,17966,98.59735055,1.331527766,1.402649449,1.331527766
230,2018,31,1162,72,1234,94.16531605,1.312525378,5.834683955,1.312525378
125,2013,99,2232,201,2433,91.73859433,1.274506109,8.261405672,1.274506109
221,2017,71,241,15,256,94.140625,1.258680556,5.859375,1.258680556
40,2010,53,378,30,408,92.64705882,1.255554088,7.352941176,1.255554088
44,2010,61,13080,404,13484,97.00385642,1.247449699,2.996143578,1.247449699
69,2011,61,18323,335,18658,98.20452353,1.240612893,1.795476471,1.240612893
70,2011,62,10156,318,10474,96.96391064,1.239445078,3.036089364,1.239445078
144,2014,61,13374,246,13620,98.1938326,1.239248558,1.806167401,1.239248558
101,2013,11,218,6,224,97.32142857,1.234126984,2.678571429,1.234126984
80,2012,31,836,29,865,96.64739884,1.213297673,3.352601156,1.213297673
29,2010,23,341,16,357,95.51820728,1.159914137,4.481792717,1.159914137
133,2014,42,1921,54,1975,97.26582278,1.147955619,2.734177215,1.147955619
204,2017,23,669,28,697,95.98278336,1.141817282,4.017216643,1.141817282
107,2013,33,15277,247,15524,98.40891523,1.093918502,1.591084772,1.093918502
215,2017,53,544,31,575,94.60869565,1.078935659,5.391304348,1.078935659
108,2013,42,1486,41,1527,97.31499673,1.075511322,2.685003274,1.075511322
57,2011,33,15049,278,15327,98.18620735,1.075303339,1.813792653,1.075303339
154,2015,23,638,30,668,95.50898204,1.050650992,4.491017964,1.050650992
90,2012,53,373,18,391,95.39641944,1.047445237,4.603580563,1.047445237
161,2015,48,588,20,608,96.71052632,1.016746411,3.289473684,1.016746411
76,2012,11,155,5,160,96.875,0.99985242,3.125,0.99985242
51,2011,11,166,4,170,97.64705882,0.993237839,2.352941176,0.993237839
128,2014,22,651,8,659,98.78603945,0.988682626,1.213960546,0.988682626
274,2019,92,220,15,235,93.61702128,0.97828968,6.382978723,0.97828968
148,2014,81,809,31,840,96.30952381,0.912698413,3.69047619,0.912698413
258,2019,42,2205,124,2329,94.67582653,0.904437076,5.324173465,0.904437076
55,2011,31,1007,30,1037,97.10703954,0.871907831,2.892960463,0.871907831
110,2013,45,2282,27,2309,98.83066262,0.869031929,1.169337375,0.869031929
187,2016,49,117,2,119,98.31932773,0.854743641,1.680672269,0.854743641
162,2015,49,86,2,88,97.72727273,0.79609907,2.272727273,0.79609907
103,2013,22,629,8,637,98.74411303,0.781464473,1.25588697,0.781464473
223,2017,81,604,24,628,96.17834395,0.753507348,3.821656051,0.753507348
33,2010,42,737,33,770,95.71428571,0.717194382,4.285714286,0.717194382
5,2009,31,941,34,975,96.51282051,0.710687123,3.487179487,0.710687123
82,2012,33,12088,214,12302,98.26044546,0.699469846,1.739554544,0.699469846
94,2012,61,11398,281,11679,97.59397209,0.699220781,2.406027913,0.699220781
38,2010,51,5002,106,5108,97.92482381,0.664791771,2.075176194,0.664791771
6,2009,32,2101,60,2161,97.22350764,0.657593849,2.776492365,0.657593849
169,2015,61,9108,205,9313,97.7987759,0.655484612,2.201224095,0.655484612
260,2019,45,5535,220,5755,96.17723719,0.646510928,3.822762815,0.646510928
27,2010,21,540,8,548,98.54014599,0.642949724,1.459854015,0.642949724
52,2011,21,798,11,809,98.64029666,0.639242242,1.359703337,0.639242242
2,2009,21,659,15,674,97.77448071,0.63189379,2.225519288,0.63189379
83,2012,42,920,23,943,97.56097561,0.626579534,2.43902439,0.626579534
219,2017,61,13188,406,13594,97.01338826,0.61043577,2.98661174,0.61043577
205,2017,31,912,27,939,97.12460064,0.604982553,2.875399361,0.604982553
106,2013,32,2351,51,2402,97.87676936,0.532145869,2.123230641,0.532145869
13,2009,51,4349,99,4448,97.77428058,0.530615153,2.225719424,0.530615153
95,2012,62,7052,226,7278,96.89475131,0.525114342,3.105248695,0.525114342
188,2016,51,13416,349,13765,97.46458409,0.520439736,2.53541591,0.520439736
156,2015,32,2256,45,2301,98.04432855,0.511211933,1.955671447,0.511211933
181,2016,32,2906,82,2988,97.25568942,0.50318948,2.744310576,0.50318948
119,2013,61,14909,353,15262,97.68706592,0.493188364,2.312934085,0.493188364
88,2012,51,6814,126,6940,98.18443804,0.477317638,1.81556196,0.477317638
130,2014,31,1093,24,1117,97.85138765,0.475932787,2.148612355,0.475932787
8,2009,42,974,37,1011,96.34025717,0.472910232,3.659742829,0.472910232
158,2015,42,1654,65,1719,96.21873182,0.470415941,3.781268179,0.470415941
180,2016,31,1086,36,1122,96.79144385,0.464245574,3.20855615,0.464245574
20,2009,62,7640,337,7977,95.77535414,0.462854143,4.224645857,0.462854143
238,2018,51,18328,691,19019,96.3667911,0.46000591,3.633208896,0.46000591
127,2014,21,1176,20,1196,98.3277592,0.458280256,1.672240803,0.458280256
213,2017,51,14253,329,14582,97.74379372,0.445679966,2.256206282,0.445679966
22,2009,72,951,63,1014,93.78698225,0.43452658,6.213017751,0.43452658
77,2012,21,829,18,847,97.87485242,0.420602125,2.12514758,0.420602125
163,2015,51,10075,151,10226,98.5233718,0.408234159,1.476628203,0.408234159
233,2018,42,2609,161,2770,94.18772563,0.401404666,5.812274368,0.401404666
81,2012,32,1967,43,2010,97.86069652,0.399748939,2.139303483,0.399748939
208,2017,42,2250,91,2341,96.11277232,0.38884232,3.88722768,0.38884232
120,2013,62,9906,286,10192,97.19387755,0.380246438,2.806122449,0.380246438
196,2016,71,302,24,326,92.63803681,0.379972294,7.36196319,0.379972294
190,2016,53,555,33,588,94.3877551,0.366473685,5.612244898,0.366473685
263,2019,51,13353,515,13868,96.28641477,0.336371453,3.713585232,0.336371453
206,2017,32,2884,67,2951,97.72958319,0.320295955,2.270416808,0.320295955
253,2019,22,422,23,445,94.83146067,0.317354091,5.168539326,0.317354091
115,2013,53,489,17,506,96.64031621,0.310378773,3.359683794,0.310378773
78,2012,22,519,9,528,98.29545455,0.308877364,1.704545455,0.308877364
4,2009,23,559,22,581,96.21342513,0.299395384,3.786574871,0.299395384
98,2012,81,595,20,615,96.74796748,0.29406677,3.25203252,0.29406677
131,2014,32,2998,51,3049,98.32732043,0.270030118,1.672679567,0.270030118
248,2018,81,626,32,658,95.13677812,0.26862729,4.863221884,0.26862729
54,2011,23,443,12,455,97.36263736,0.255597826,2.637362637,0.255597826
63,2011,51,8054,136,8190,98.33943834,0.230003345,1.660561661,0.230003345
194,2016,61,11447,411,11858,96.5339855,0.219857129,3.466014505,0.219857129
56,2011,32,2327,48,2375,97.97894737,0.207259978,2.021052632,0.207259978
113,2013,51,9415,133,9548,98.60703812,0.2033403,1.392961877,0.2033403
269,2019,61,9461,381,9842,96.1288356,0.199860798,3.871164397,0.199860798
31,2010,32,1682,29,1711,98.30508475,0.197997144,1.694915254,0.197997144
102,2013,21,887,13,900,98.55555556,0.188557474,1.444444444,0.188557474
105,2013,31,1080,22,1102,98.00362976,0.126860405,1.996370236,0.126860405
244,2018,61,9371,382,9753,96.08325643,0.100888676,3.916743566,0.100888676
198,2016,81,696,35,731,95.2120383,0.090087084,4.787961696,0.090087084
255,2019,31,835,48,883,94.56398641,0.078123259,5.43601359,0.078123259
65,2011,53,479,17,496,96.57258065,0.073646798,3.427419355,0.073646798
58,2011,42,1042,31,1073,97.11090401,0.069042277,2.889095993,0.069042277
129,2014,23,666,15,681,97.79735683,0.054030817,2.202643172,0.054030817
254,2019,23,603,35,638,94.51410658,0.049879827,5.485893417,0.049879827
138,2014,51,10883,168,11051,98.47977559,0.047961522,1.520224414,0.047961522
183,2016,42,2262,90,2352,96.17346939,0.042517007,3.826530612,0.042517007
104,2013,23,577,12,589,97.96264856,0.040981207,2.037351443,0.040981207
152,2015,21,846,19,865,97.80346821,0.003549336,2.196531792,0.003549336
